ids,mols,y
265473,CCCCC1(CC)C(=O)NC(=O)NC1=O,0
265383,CCCCOC(=O)CCC(C)=O,0
265483,CCC1(CC)C(=O)NC(=O)NC1=O,0
265471,C=CCC1(CC=C)C(=O)NC(=O)NC1=O,0
265486,CC1(C2=CC=CC=C2)C(=O)NC(=O)NC1=O,0
265474,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,0
265479,O=C(O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,0
265456,O=C1CC(C2=CC=C(O)C=C2)OC2=CC(O)=CC(O)=C12,0
265322,CCCCCCCCCCCCCCCCCC(=O)OCCOCC(OCCOC)C1OCC(OCCOC)C1OCCOC,0
265262,COC1=C(O)C=CC(C2=CC(=O)C3=C(O)C=C(O)C=C3O2)=C1,0
265244,O=C1C=C(C2=CC=C(O)C(O)=C2)OC2=CC(O)=CC=C12,0
265264,O=C1C=C(C2=CC=C(O)C=C2)OC2=C1C(O)=CC(O)=C2,0
265272,CCCCN(CCCC)CCN1C(=O)C2=CC=CC=C2S1(=O)=O,0
265370,NCCS(=O)(=O)O,0
265328,CCCCCCCCC=CCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,0
265251,COC1=CC=C2OC(C3=CC=C(O)C=C3)=CC(=O)C2=C1,0
265355,CCCOC(C)=O,0
265271,CCN(CC)C1=NS(=O)(=O)C2=CC([N+](=O)[O-])=CC=C21,0
265285,NC(CC1=CC=CC=C1)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC1=CC=CC=C1)C(=O)O,0
265348,C=C(C)CCCC(C)CCOC(C)=O,0
265255,O=C1C=C(C2=CC=CC=C2)OC2=CC=CC=C12,0
265246,O=C1C=C(C2=CC(O)=C(O)C(O)=C2)OC2=C1C(O)=CC(O)=C2,0
265323,C=C(C)CCCC(C)CCOC(=O)CC(C)C,0
265314,COC1=CC=C2C=C3C4=CC5=C(C=C4CC[N+]3=CC2=C1OC)OCO5,0
265360,CC1=CC=C(C(C)C)CC1,0
265362,COC1=CC(C)=CC=C1O,0
265284,CC(C)C1=CC=C(C=NO)C=C1,0
265258,O=C1C=C(C2=CC=C(O)C=C2)OC2=CC(O)=CC=C12,0
265311,COC1=CC=C(C2=CC(=O)C3=C(OC)C(OC)=C(OC)C(OC)=C3O2)C=C1,0
265253,O=C1C=C(C2=CC=CC=C2)OC2=C1C(O)=CC=C2,0
