descriptor,feature selection,algorithm,test_roc_auc_score,test_precision_score,test_ner_score,test_recall_score,test_f1_score
atompair_fp,none,rf,0.9002381425801702,0.917037037037037,0.9002381425801702,0.8722404884922499,0.894077997111218
atompair_fp,Boruta,svm,0.8929799002365375,0.92,0.8929799002365375,0.8534523250352278,0.885477582846004
atompair_fp,Boruta,rf,0.9001743382659952,0.9182763744427934,0.9001743382659954,0.8708313762329732,0.8939247830279653
atompair_fp,none,svm,0.8879851059061327,0.9252724442138038,0.8879851059061326,0.8374823860967591,0.8791913214990139
atompair_fp,KbestFS,rf,0.8498938300224981,0.9040570175438597,0.8498938300224981,0.7745420385157351,0.8343030609663545
atompair_fp,KbestFS,svm,0.8421464212701913,0.9178240740740741,0.8421464212701915,0.7449506810709253,0.8224008296603578
atompair_fp,SelectFromModelFS,svm,0.8924242208399737,0.9169184290030211,0.8924242208399737,0.85533114138093,0.8850546780072903
atompair_fp,SelectFromModelFS,rf,0.9012635260631594,0.9201388888888888,0.9012635260631594,0.8713010803193988,0.8950542822677926
atompair_fp,SelectFromModelFS,dnn,0.8921174384614412,0.8796125461254612,0.8921174384614412,0.8957256928135274,0.8875959972073539
atompair_fp,Boruta,dnn,0.8916708082622172,0.8871119473189087,0.8916708082622173,0.8858619069985909,0.8864864864864865
atompair_fp,none,dnn,0.8917576864635937,0.8938814531548758,0.8917576864635937,0.878346641615782,0.8860459606728264
atompair_fp,KbestFS,dnn,0.8542709464246409,0.9068119891008174,0.854270946424641,0.7815875998121183,0.839556004036327
ecfp8,none,rf,0.8784661242229869,0.9420529801324503,0.8784661242229869,0.8017848755284172,0.8662775945191575
ecfp8,Boruta,svm,0.8728251607296886,0.9154780771262546,0.8728251607296886,0.8139971817754814,0.8617603182496271
ecfp8,Boruta,rf,0.8749433435747952,0.9415692821368948,0.8749433435747952,0.7947393142320338,0.8619460010188487
ecfp8,none,svm,0.8832002839492623,0.9118246687054027,0.8832002839492623,0.8403006106153124,0.8746027866047421
ecfp8,KbestFS,rf,0.8602743705895017,0.9309564233163554,0.8602743705895017,0.7726632221700329,0.8444558521560576
ecfp8,KbestFS,svm,0.8555773297252461,0.9301659988551803,0.8555773297252462,0.7632691404415218,0.8384932920536635
ecfp8,SelectFromModelFS,svm,0.8815359544332863,0.9166666666666666,0.8815359544332863,0.8318459370596524,0.8721989657719773
ecfp8,SelectFromModelFS,rf,0.8905481131679865,0.931070496083551,0.8905481131679865,0.8374823860967591,0.8818001978239368
ecfp8,SelectFromModelFS,dnn,0.8773918842918795,0.904786150712831,0.8773918842918795,0.8346641615782058,0.8683117517713169
ecfp8,Boruta,dnn,0.8647266276069229,0.8795240456122955,0.8647266276069229,0.833255049318929,0.8557645923781959
ecfp8,none,dnn,0.8843940064875745,0.9025360517155644,0.8843940064875746,0.8525129168623767,0.8768115942028986
ecfp8,KbestFS,dnn,0.8617604292465333,0.8857868020304569,0.8617604292465333,0.8196336308125881,0.8514271773603317
rdk,none,rf,0.8980651843332719,0.9422572178477691,0.898065184333272,0.8431188351338657,0.8899355478433317
rdk,Boruta,svm,0.8907997188597326,0.9070687098368759,0.8907997188597326,0.8619069985908877,0.8839113680154141
