ids,mols,y
2667,COC(CO)COC1OC(CO)C(O)C(O)C1O,1.0
2669,CCCCOCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,1.0
2673,O=CC(O)C(OCCO)C(O)C(O)CO,1.0
2665,OCC1OC(O)C(O)C(O)C1OC1OC(COO)C(O)C(O)C1O,1.0
2676,NC(=O)C(NC(=O)O)C(CCC1=CC=CC=C1)C(=O)O,1.0
2661,OCCCOC1C(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)OC(CO)C(O)C1O,1.0
2677,COC1OC(O)(CO)C(O)C(O)C1O,1.0
2686,O=CC(OS(=O)O)C(O)C(O)C(O)CO,1.0
2685,CCCCN(C(=O)C(N)CC(=O)O)C(CC1=CC=CC=C1)C(=O)O,1.0
2679,OCC1OC(O)(C(O)O)C(O)C1O,1.0
2683,COC(CO)C(OC)C(OC)C(O)C=O,1.0
2659,CCC(C)OC1OC(CO)C(O)C(O)C1O,1.0
2630,CC(O)C(N)C(=O)NC(CC(=O)O)C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2632,CC(O)C(N)C(=O)NC(CCCCN)C(=O)NC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2634,O=CC(O)C(O)C(O)C(O)COF,1.0
2631,CC(O)C(N)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2636,O=CC(O)C(OF)C(O)C(O)CO,1.0
2637,CCCCCCCCCC(=O)NC(C)C(=O)NC(CC1=CC=CC=C1)C(=O)OC,1.0
2638,CC(C)(C)CCNC(CC(=O)NC(CC1=CC=CC=C1)C(=O)O)C(=O)O,1.0
2635,O=CC(OBr)C(O)C(O)C(O)CO,1.0
2641,CCOC(=O)C(CC1=CC=CC=C1)NC(=O)C(N)CC(C)C,1.0
2645,C=COCC1(OC2OC(CO)C(O)C(O)C2O)OC(CO)C(O)C1O,1.0
2646,COC(=O)C(CCCCN)NC(=O)C(CC(C)C)NC(=O)C(N)CC1=CC=CC=C1,1.0
2647,CCCCOC1C(O)C(O)OC1C(O)CO,1.0
2688,COC(=O)CCNC(=O)C(CC1=CC=CC=C1)NC(CC1=CC=CC=C1)C(=O)O,1.0
2648,OCC1OC(OCl)C(O)C(O)C1O,1.0
2698,CCOOC1OC(C)C(O)C(O)C1O,1.0
2724,CC(C)C(NC(=O)C(CC(N)=O)NC(=O)C(N)CC1=CC=CC=C1)C(=O)NC(CCCCN)C(=O)O,1.0
2727,CC(NC(=O)C(CC(=O)O)NC(=O)C(N)CC1=CC=CC=C1)C(=O)NC(CCC(N)=O)C(=O)O,1.0
2656,NOC(C(O)C=O)C(O)C(O)CO,1.0
2658,CCCOC1C(O)C(CO)OC(OC2C(CO)OC(O)C(O)C2O)C1O,1.0
2731,CC(NC(=O)C(CC(=O)O)NC(=O)C(N)CC1=CC=CC=C1)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2737,NC(=O)CC(NC(=O)C(CC(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(N)CC1=CC=CC=C1)C(=O)O,1.0
2733,CC(NC(=O)C(CC(N)=O)NC(=O)C(CC(=O)O)NC(=O)C(N)CC1=CC=CC=C1)C(=O)O,1.0
2732,CC(NC(=O)C(CC(=O)O)NC(=O)C(N)CC1=CC=CC=C1)C(=O)NC(C(=O)O)C(C)C,1.0
