ids,mols,y
282542,CCCCCC=CCC=CCC=CCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCCC=CCC=CCCCCC,0.0
320032,CC(C)CCCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCCCCCCCCC(C)C,0.0
321939,CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCC,0.0
282032,OCCOCCN1CCN(C2=NC3=CC=CC=C3SC3=CC=CC=C32)CC1,0.0
316710,CCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCC)COC(=O)CCCCCCCCCCCCCCCC,0.0
321107,CCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC)COC(=O)CCCCCCCCC(C)C,0.0
318058,CCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCC)COC(=O)CCCCCCCCCCC(C)CC,0.0
322292,CCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCC(C)C)COC(=O)CCCCCCCCC(C)CC,0.0
338325,CCCCCC/C=C\CCCCCCCCCC(=O)OCC(O)COP(=O)(O)O,0.0
324822,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCC,0.0
282878,CCCCCCCCC=CCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCCCCCCCCCC,0.0
297521,COC1=C(O)C=CC(CC(CO)OC2OC(COC(=O)C3=CC(O)=C(O)C(O)=C3)C(O)C(O)C2O)=C1,0.0
302748,CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,0.0
281260,CCCCCCCCCCCCCCCC(=O)NCCC1=CNC2=CC=CC=C12,0.0
318062,CCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC)OC(=O)CCCCCCCCCCCC(C)C,0.0
282670,CCCCCC=CCC=CCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCCCCCC,0.0
297164,C=C(C)C(C)CCC(C)C1CCC2(C)C3CCC4C(C)(C)C(O)CCC45CC35CCC12C,0.0
326289,CCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCC)OC(=O)CCCCCCCCC,0.0
306062,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)OCCN,0.0
296500,C=CC(C)(O)CC/C=C(/C)CC/C=C(/C)CCC=C(C)C,0.0
342320,CCCCCCCCCCCCCCCCCCO[C@@H](COC(=O)CCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCC,0.0
354213,CC[C@H](C)[C@H](NC(=O)[C@H](C)N)C(=O)O,0.0
321340,CCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC(C)C,0.0
292870,COC1=C(OC)C(O)=C2C=C1C1=CC(=CC=C1O)CCC(O)CCCC2,0.0
321135,CCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCCCC)COC(=O)CCCCCCCCCCCCC,0.0
282404,CCC=CCC=CCC=CCC=CCC=CCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCCCCCCCC,0.0
296397,CC(C)=CCCC(C(=O)O)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(=O)C(C)(C)C1CC3,0.0
296981,COC1CC(CC2COC(=O)C2CC2CCC(O)C(OC)C2)CCC1O,0.0
282903,CCCCC=CCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCCCCC=CCC=CCCCCC,0.0
319637,CC(C)CCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COC(=O)CCCCCCCCCCCCC(C)C,0.0
303046,CCCCCCCCCCCCCCCC(=O)OCC1COP(=O)(O)O1,0.0
280839,COC1=CC=C(C2=COC3=CC(O)=C(CC=C(C)C)C(O)=C3C2=O)C=C1,0.0
281592,CCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,0.0
307426,CC1=NC=C(C[N+]2=C(C(C)O)SC(CCOP(=O)([O-])OP(=O)(O)O)=C2C)C(N)=N1,0.0
318751,CCCCCCCCCCCCC(=O)OC[C@@H](O)COC(=O)CCCCCCCCCCCCCCCCC(C)C,0.0
304132,CCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCC)COP(=O)(O)OCCN,0.0
319950,CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COC(=O)CCCCCCCCCCCCCCC(C)C,0.0
279210,O=C1C(O)=C(C2=CC=CC=C2)C(=O)C(O)=C1C1=CC=CC=C1,0.0
