ids,mols,y
264895,OCC1OC(OC2(CBr)OC(CBr)C(Br)C2O)C(O)C(O)C1Br,1.0
264790,COCC1OC(OC2(CO)OC(COC)C(O)C2O)C(O)C(O)C1O,1.0
264799,OC1C(CCl)OC(O)(CCl)C1O,1.0
264786,COCC(=O)CO,1.0
264826,NC(=O)C(N)CCC(=O)O,1.0
264831,CC(O)C(N)C(=O)O,1.0
264877,O=C(O)CCNC(=S)NC1=CC=C([N+](=O)[O-])C=C1,1.0
264892,OCC1OC(OC2(CCl)OC(CO)C(Cl)C2O)C(O)C(O)C1O,1.0
264806,COC1=C(O)C=C(CCC2=CC(C)=CC=C2)C=C1,1.0
264808,COC1=C(O)C=C(CCC2=CC=C(O)C=C2)C=C1,1.0
264809,COC1=C(O)C=C(CCC2=CC=C(F)C=C2)C=C1,1.0
264822,OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1O,1.0
264853,CCCCOC1=C(N)C=C([N+](=O)[O-])C=C1,1.0
264792,COCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1OC,1.0
264801,OCC1OC(OC2(CO)OC(CCl)C(O)C2O)C(O)C(O)C1O,1.0
264851,COC1=CC=C([N+](=O)[O-])C=C1N,1.0
264859,C=COC1=CC=C([N+](=O)[O-])C=C1N,1.0
264926,NC(CC(=O)O)C(=O)NCCC1CCCCC1,1.0
264884,CC1=C(C)C(=O)NS(=O)(=O)O1,1.0
264815,COC1=C(O)C=C(C2CC3=CC=CC(O)=C3CO2)C=C1,1.0
264865,O=C1NS(=O)(=O)C2=C1C=CC(O)=C2,1.0
264868,O=C1NS(=O)(=O)C2=CSC=C12,1.0
264869,ON=CC1=CC=CO1,1.0
264880,COC1(CO)OCC(O)C(O)C1O,1.0
264788,COC1C(CO)OC(OC2(CO)OC(CO)C(O)C2O)C(O)C1O,1.0
264872,COC1=CC=C(C2CC(=O)C3=C(O)C=C(O)C=C3O2)C=C1O,1.0
264919,CC1=CCC(C(C)C2CCC3(C)C4CCC5C(C)(C(=O)O)C(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)CCC56CC46CCC23C)OC1=O,1.0
264878,O=C(O)CCNC(=O)OC1=CC=C([N+](=O)[O-])C=C1,1.0
264858,CC1=C(N)C=C([N+](=O)[O-])C=C1,1.0
264866,O=C1NS(=O)(=O)C2=C1C(Cl)=CC=C2,1.0
264898,OCC1OC(OC2(CBr)OC(CBr)C(O)C2O)C(O)C(O)C1Br,1.0
264908,CC1(C(=O)O)CCCC2(C)C3=C(C=CC=C3)C(O)(C(=O)O)C12,1.0
264897,OCC1OC(OC2(CCl)OC(CO)C(Cl)C2O)C(O)C(O)C1Cl,1.0
264917,COC(=O)C1OC(OC2CCC34CC35CCC3(C)C(C(C)C6CC=C(C)C(=O)O6)CCC3(C)C5CCC4C2(C)C(=O)O)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,1.0
264899,OCC1OC(OC2(CF)OC(CF)C(O)C2O)C(O)C(O)C1F,1.0
264914,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CCC4C5(C=O)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,1.0
264855,NC1=C(Cl)C=CC([N+](=O)[O-])=C1,1.0
264916,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CCC4C5(CO)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,1.0
265051,CCCCOC(=O)C(C)NC(=O)C(N)CC(=O)O,1.0
264947,COC(=O)C(CCCNOC(C)=O)NC(=O)C(N)CC(=O)O,1.0
264968,CCCC(=O)OCC(C)NC(=O)C(N)CC(=O)O,1.0
264961,CC(C)C(=O)OCCNC(=O)C(N)CC(=O)O,1.0
265001,CC(C)C(COC(=O)C1CCC1)NC(=O)C(N)CC(=O)O,1.0
264995,CC(=O)OCC(NC(=O)C(N)CC(=O)O)C(C)O,1.0
265005,CCCC(=O)OCC(NC(=O)C(N)CC(=O)O)C(=O)OC,1.0
265057,CCC(CC)OC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC,1.0
265060,COC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC(=O)OC1CC2CCC1(C)C2(C)C,1.0
265009,CC(CC(=O)OC(C)C)NC(=O)C(N)CC(=O)O,1.0
264966,CCC(=O)OCC(C)NC(=O)C(N)CC(=O)O,1.0
265037,CCCOC(=O)C(NC(=O)C(N)CC(=O)O)C(C)O,1.0
265045,NC(CC(=O)O)C(=O)NCC(=O)OC1CCCCC1,1.0
265026,CCOC(=O)CC(NC(=O)C(N)CC(=O)O)C(=O)OC,1.0
265047,COC(=O)C(C)NC(=O)C(N)CC(=O)O,1.0
265053,CCC(NC(=O)C(N)CC(=O)O)C(=O)OC(C)C,1.0
265006,COC(=O)C(COC(=O)C(C)C)NC(=O)C(N)CC(=O)O,1.0
265023,COC(=O)CC(C)NC(=O)C(N)CC(=O)O,1.0
264994,CCC(COC(=O)C1CCC1)NC(=O)C(N)CC(=O)O,1.0
265008,CCOC(=O)CC(C)NC(=O)C(N)CC(=O)O,1.0
265083,CC(CCC(OC1OC(CO)C(O)C(O)C1O)C(C)(C)O)C1CCC2(C)C3CC=C4C(CCC(OC5OC(CO)C(O)C(O)C5O)C4(C)C)C3(C)C(O)CC12C,1.0
265039,CCCCOC(=O)C(NC(=O)C(N)CC(=O)O)C(C)O,1.0
265062,CCOC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CCCC1,1.0
264985,CCCC(=O)OCC(CO)NC(=O)C(N)CC(=O)O,1.0
