descriptor,feature selection,algorithm,test_roc_auc_score,test_precision_score,test_ner_score,test_recall_score,test_f1_score,blend_roc_auc_score,blend_precision_score,blend_ner_score,blend_recall_score,blend_f1_score
2d,none,rf,0.9263375840603622,0.9186189889025894,0.9263375840603622,0.9349899598393574,0.92673218061948,0.876270656717584,0.9242902208201892,0.8762706567175841,0.8195804195804196,0.8687916975537435
2d,none,svm,0.8939507406027202,0.8826256710590532,0.8939507406027202,0.9078815261044176,0.8950754763672358,0.8262945853029652,0.8814390842191333,0.8262945853029652,0.7538461538461538,0.8126649076517151
2d,SelectFromModelFS,svm,0.8900398300610776,0.8866749688667497,0.8900398300610775,0.893574297188755,0.8901112639079884,0.8067087939992968,0.8829694323144105,0.8067087939992967,0.706993006993007,0.785242718446602
2d,SelectFromModelFS,rf,0.9290767146911416,0.9248943048992788,0.9290767146911416,0.9334839357429718,0.9291692692067456,0.8766168886978943,0.9290836653386454,0.8766168886978942,0.8153846153846154,0.8685288640595903
2d,KbestFS,svm,0.9015734927737892,0.8922699386503068,0.9015734927737892,0.9126506024096386,0.9023452041196178,0.8332831972496777,0.8889795918367347,0.8332831972496777,0.7615384615384615,0.8203389830508474
2d,KbestFS,rf,0.9232258605386876,0.911376953125,0.9232258605386876,0.9369979919678716,0.9240099009900988,0.87313259366332,0.911969111969112,0.8731325936633199,0.8258741258741259,0.8667889908256882
2d,Boruta,svm,0.8869445416988483,0.8757930697901415,0.8869445416988483,0.9008534136546184,0.8881464983914872,0.8088228112669453,0.8627773212818406,0.8088228112669453,0.7342657342657343,0.7933509633547413
2d,none,dnn,0.9271487922255248,0.9372750642673522,0.9271487922255248,0.9151606425702812,0.9260858521717044,0.8633160135953432,0.9482312338222606,0.8633160135953433,0.7685314685314686,0.8489764387794516
2d,Boruta,rf,0.9266984375516534,0.92284718765555,0.9266984375516534,0.9307228915662652,0.9267683079230192,0.8738191975622144,0.9293172690763052,0.8738191975622143,0.8090909090909091,0.8650467289719626
2d,SelectFromModelFS,dnn,0.9222448223925886,0.9393781029527044,0.9222448223925884,0.902359437751004,0.9204967353731917,0.8433927804039536,0.9345132743362832,0.8433927804039536,0.7384615384615385,0.8250000000000001
2d,KbestFS,dnn,0.9277629976128008,0.9412069412069412,0.9277629976128008,0.91214859437751,0.9264499681325684,0.8566741219674181,0.9450261780104712,0.8566741219674181,0.7573426573426574,0.8408385093167702
2d,Boruta,dnn,0.9246356215583212,0.937856033143449,0.9246356215583212,0.9091365461847388,0.9232730053530462,0.8486394890026174,0.93235039028621,0.8486394890026174,0.7517482517482518,0.832365466511808
ecfp4,none,rf,0.9196276553588166,0.918723510346547,0.9196276553588169,0.9203296703296704,0.9195258889582032,0.8553088133240805,0.919672131147541,0.8553088133240805,0.7786259541984732,0.8432919954904171
ecfp4,SelectFromModelFS,rf,0.9193816007419592,0.9172259507829976,0.9193816007419588,0.9215784215784216,0.919397035006852,0.8598195697432338,0.9253486464315012,0.8598195697432338,0.7827897293546149,0.8481203007518797
